STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c2500_i16_p76,2500,16,76,39,0.8926,1.15,23
c2560_i16_p76,2560,16,76,40,0.8934,1.13,27
c2600_i16_p76,2600,16,76,40,0.8918,1.12,27
c2700_i16_p76,2700,16,76,51,0.8885,1.30,32
c2888_i16_p76,2888,16,76,43,0.8855,1.06,30
c2960_i16_p76,2960,16,76,46,0.8837,1.10,30
c3076_i16_p76,3076,16,76,46,0.8858,1.09,33
c3200_i16_p76,3200,16,76,47,0.8804,1.01,33
c3400_i16_p76,3400,16,76,51,0.8815,1.07,35
c3600_i16_p76,3600,16,76,53,0.8801,0.96,40
c4000_i16_p76,4000,16,76,58,0.8763,0.93,41
c4200_i16_p76,4200,16,76,56,0.8724,0.95,43
c4242_i16_p76,4242,16,76,58,0.8728,3.13,44
c4800_i16_p76,4800,16,76,64,0.8650,0.89,49
c5000_i16_p76,5000,16,76,66,0.8639,0.89,53
c5600_i16_p76,5600,16,76,73,0.8593,0.89,57
c5800_i16_p76,5800,16,76,75,0.8553,0.88,58
c6000_i16_p76,6000,16,76,79,0.8572,0.86,63
c6400_i16_p76,6400,16,76,84,0.8520,0.85,67
c6600_i16_p76,6600,16,76,84,0.8519,0.83,70
c2300_i16_p80,2300,16,80,38,0.8948,1.36,25
c2400_i16_p80,2400,16,80,39,0.8943,1.23,26
c2500_i16_p80,2500,16,80,40,0.8969,1.18,27
c2600_i16_p80,2600,16,80,41,0.8950,1.13,24
c2700_i16_p80,2700,16,80,45,0.8909,1.18,29
c2888_i16_p80,2888,16,80,50,0.8888,1.29,34
c2960_i16_p80,2960,16,80,45,0.8872,1.08,32
c3076_i16_p80,3076,16,80,45,0.8878,1.07,32
c3200_i16_p80,3200,16,80,46,0.8842,1.05,33
c3400_i16_p80,3400,16,80,51,0.8850,1.01,35
c3600_i16_p80,3600,16,80,54,0.8835,0.97,37
c4000_i16_p80,4000,16,80,57,0.8794,0.94,44
c4242_i16_p80,4242,16,80,59,0.8762,0.92,43
c5000_i16_p80,5000,16,80,67,0.8664,0.88,54
c5600_i16_p80,5600,16,80,75,0.8636,4.12,56
c5800_i16_p80,5800,16,80,74,0.8588,0.88,61
c6400_i16_p80,6400,16,80,81,0.8544,0.90,67
c6600_i16_p80,6600,16,80,82,0.8541,0.85,69
c2300_i16_p84,2300,16,84,38,0.8972,1.41,24
c2400_i16_p84,2400,16,84,38,0.8973,1.24,25
c2500_i16_p84,2500,16,84,39,0.9003,1.19,23
c2600_i16_p84,2600,16,84,40,0.8990,1.24,27
c2700_i16_p84,2700,16,84,42,0.8940,1.18,28
c2888_i16_p84,2888,16,84,47,0.8926,1.11,31
c2960_i16_p84,2960,16,84,44,0.8916,1.10,31
c3076_i16_p84,3076,16,84,48,0.8901,1.08,32
c3200_i16_p84,3200,16,84,46,0.8875,1.09,33
c3400_i16_p84,3400,16,84,48,0.8899,1.03,35
