m,max_layer,efc,efs,avg_recall,avg_time_ms
32,5,530,575,0.98029,1.525112
32,5,530,568,0.98004,1.541965
32,5,530,564,0.9798,1.520135
32,5,530,566,0.97991,1.842767
32,5,530,567,0.97997,1.536214
32,5,530,575,0.98029,1.525112
43,10,735,2000,0.99889,6.180694
43,10,735,1040,0.99575,3.21515
43,10,735,560,0.98707,1.777573
43,10,735,320,0.97001,1.037142
43,10,735,440,0.98092,1.406366
43,10,735,380,0.97642,1.222344
43,10,735,410,0.9789,1.312417
43,10,735,425,0.98,1.34621
43,10,735,418,0.97954,1.332533
43,10,735,422,0.97976,1.376296
43,10,735,424,0.97994,1.35874
43,10,735,425,0.98,1.34621
41,8,93,2000,0.97825,3.078866
41,8,93,2000,0.97825,3.078866
59,5,763,2000,0.99899,7.175622
59,5,763,1040,0.99667,3.645615
59,5,763,560,0.98904,2.000666
59,5,763,800,0.99446,2.924002
59,5,763,680,0.99236,2.70099
59,5,763,620,0.99075,2.300986
59,5,763,590,0.98994,2.165314
59,5,763,605,0.99031,2.202278
59,5,763,598,0.99016,2.263976
59,5,763,594,0.99003,2.092165
59,5,763,592,0.98997,2.447054
59,5,763,593,0.99,2.097573
